Atoll/City Code,Administrative Division,Inhabited Island,Note
HA,Haa Alif (North Thiladhunmathi),Baarah,
HA,Haa Alif (North Thiladhunmathi),Dhiddhoo,capital
HA,Haa Alif (North Thiladhunmathi),Filladhoo,
HA,Haa Alif (North Thiladhunmathi),Hoarafushi,
HA,Haa Alif (North Thiladhunmathi),Ihavandhoo,
HA,Haa Alif (North Thiladhunmathi),Kelaa,
HA,Haa Alif (North Thiladhunmathi),Maarandhoo,
HA,Haa Alif (North Thiladhunmathi),Mulhadhoo,
HA,Haa Alif (North Thiladhunmathi),Muraidhoo,
HA,Haa Alif (North Thiladhunmathi),Thakandhoo,
HA,Haa Alif (North Thiladhunmathi),Thuraakunu,
HA,Haa Alif (North Thiladhunmathi),Uligamu,
HA,Haa Alif (North Thiladhunmathi),Utheemu,
HA,Haa Alif (North Thiladhunmathi),Vashafaru,
HDh,Haa Dhaalu (South Thiladhunmathi),Finey,
HDh,Haa Dhaalu (South Thiladhunmathi),Hanimaadhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Hirimaradhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Kulhudhuffushi,capital (city)
HDh,Haa Dhaalu (South Thiladhunmathi),Kumundhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Kurinbi,
HDh,Haa Dhaalu (South Thiladhunmathi),Makunudhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Naivaadhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Nellaidhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Neykurendhoo,
HDh,Haa Dhaalu (South Thiladhunmathi),Nolhivaram,
HDh,Haa Dhaalu (South Thiladhunmathi),Nolhivaranfaru,
HDh,Haa Dhaalu (South Thiladhunmathi),Vaikaradhoo,
Sh,Shaviyani (North Miladhunmadulu),Bileffahi,
Sh,Shaviyani (North Miladhunmadulu),Feevah,
Sh,Shaviyani (North Miladhunmadulu),Feydhoo,
Sh,Shaviyani (North Miladhunmadulu),Foakaidhoo,
Sh,Shaviyani (North Miladhunmadulu),Funadhoo,capital
Sh,Shaviyani (North Miladhunmadulu),Goidhoo,
Sh,Shaviyani (North Miladhunmadulu),Kanditheemu,
Sh,Shaviyani (North Miladhunmadulu),Komandoo,
Sh,Shaviyani (North Miladhunmadulu),Lhaimagu,
Sh,Shaviyani (North Miladhunmadulu),Maaungoodhoo,
Sh,Shaviyani (North Miladhunmadulu),Maroshi,
Sh,Shaviyani (North Miladhunmadulu),Milandhoo,
Sh,Shaviyani (North Miladhunmadulu),Narudhoo,
Sh,Shaviyani (North Miladhunmadulu),Noomaraa,
N,Noonu (South Miladhunmadulu),Foddhoo,
N,Noonu (South Miladhunmadulu),Henbandhoo,
N,Noonu (South Miladhunmadulu),Holhudhoo,
N,Noonu (South Miladhunmadulu),Kendhikulhudhoo,
N,Noonu (South Miladhunmadulu),Kudafari,
N,Noonu (South Miladhunmadulu),Landhoo,
N,Noonu (South Miladhunmadulu),Lhohi,
N,Noonu (South Miladhunmadulu),Maafaru,
N,Noonu (South Miladhunmadulu),Maalhendhoo,
N,Noonu (South Miladhunmadulu),Magoodhoo,
N,Noonu (South Miladhunmadulu),Manadhoo,capital
N,Noonu (South Miladhunmadulu),Miladhoo,
N,Noonu (South Miladhunmadulu),Velidhoo,
R,Raa (North Maalhosmadulu),Alifushi,
R,Raa (North Maalhosmadulu),Angolhitheemu,
R,Raa (North Maalhosmadulu),Dhuvaafaru,
R,Raa (North Maalhosmadulu),Fainu,
R,Raa (North Maalhosmadulu),Hulhudhuffaaru,
R,Raa (North Maalhosmadulu),Inguraidhoo,
R,Raa (North Maalhosmadulu),Innamaadhoo,
R,Raa (North Maalhosmadulu),Kinolhas,
R,Raa (North Maalhosmadulu),Maakurathu,
R,Raa (North Maalhosmadulu),Maduvvaree,
R,Raa (North Maalhosmadulu),Meedhoo,vice capital
R,Raa (North Maalhosmadulu),Rasgetheemu,
R,Raa (North Maalhosmadulu),Rasmaadhoo,
R,Raa (North Maalhosmadulu),Ungoofaaru,capital
R,Raa (North Maalhosmadulu),Vaadhoo,
B,Baa (South Maalhosmadulu),Dharavandhoo,
B,Baa (South Maalhosmadulu),Dhonfanu,
B,Baa (South Maalhosmadulu),Eydhafushi,capital
B,Baa (South Maalhosmadulu),Fehendhoo,
B,Baa (South Maalhosmadulu),Fulhadhoo,
B,Baa (South Maalhosmadulu),Goidhoo,
B,Baa (South Maalhosmadulu),Hithaadhoo,
B,Baa (South Maalhosmadulu),Kamadhoo,
B,Baa (South Maalhosmadulu),Kendhoo,
B,Baa (South Maalhosmadulu),Kihaadhoo,
B,Baa (South Maalhosmadulu),Kudarikilu,
B,Baa (South Maalhosmadulu),Maalhos,
B,Baa (South Maalhosmadulu),Thulhaadhoo,
Lh,Lhaviyani (Faadhippolhu),Hinnavaru,
Lh,Lhaviyani (Faadhippolhu),Kurendhoo,
